AAROM,Activities,Staff
Mi'kmaq Alsumk Mowimsikik Koqoey Association,Monitoring of exotic and invasive species.,Administrative assistants
Mi'kmaq Alsumk Mowimsikik Koqoey Association,Mobilization of communities and young people.,Aquatic Resources Manager
Mi'kmaq Alsumk Mowimsikik Koqoey Association,New marine spatial planning project with DFO.,
Mi'kmaq Confederacy PEI,Research,Director of Integrated Resource Management
Mi'kmaq Confederacy PEI,Education,GIS Manager
Mi'kmaq Confederacy PEI,Communications / Awareness,Fisheries Biologist
Mi'kmaq Confederacy PEI,Habitat restoration,Land Use Technician
Mi'kmaq Confederacy PEI,Youth capacity building,
Mi'kmaq Confederacy PEI,Aquatic resource management,
Mi'kmaq Confederacy PEI,Ecosystem health assessment,
Mi'kmaq Confederacy PEI,Restorative fisheries justi,
Mi'kmaw Conservation Group,Ocean Protection Plan,Senior Director
Mi'kmaw Conservation Group,Marine Spatial Planning,Administrative Assistant Community Liaison Officer
Mi'kmaw Conservation Group,Minas Basin River Monitoring Project: Avon River,Communication Officer GIS Technician
Mi'kmaw Conservation Group,Nature Legacy Fund- St. Croix Region: Herbert/Meander River,2 Fisheries Biologists
Mi'kmaw Conservation Group,Shubenacadie River Monitoring Project: Shubenacadie River,3 Senior and Junior Research and Education Officers
Mi'kmaw Conservation Group,Aboriginal Fund for Species at Risk and Habitat Stewardship Project: Stewiacke River,Commercial Fisheries Scientific Liaison Coordinator
Mi'kmaw Conservation Group,East River Monitoring and Nature Legacy Fund: East River Pictou,Data Entry Clerk data Field and research technician
Mi'kmaw Conservation Group,Nature Legacy Fund- Northumberland Region: West Pictou River/Middle River Pictou/River Philip/ South River/ West River,Senior Fisheries Research Advisor
Mi'kmaw Conservation Group,Chain Pickerel Project: ChainPickerelCookbook!,
North Shore Micmac District Council- Anqotum Resource Management,Species at Risk Research,Director General
North Shore Micmac District Council- Anqotum Resource Management,Miramichi Conservation Partnership Program,Senior Resource Advisor Manager of Human Resources and Administration
North Shore Micmac District Council- Anqotum Resource Management,Monitoring after restoration,Manager of Environmental Services
North Shore Micmac District Council- Anqotum Resource Management,Habitat enhancement,Manager of Communications
North Shore Micmac District Council- Anqotum Resource Management,,Senior Biologist
North Shore Micmac District Council- Anqotum Resource Management,,Senior Field Technician Financial Officer / Administrative Assistant
Unama'ki Institute of Natural Resources,Traditional Knowledge,Executive Director
Unama'ki Institute of Natural Resources,Watershed Planning and Stewardship,Director of Administration
Unama'ki Institute of Natural Resources,Protection of habitat and species at risk,Finance Office
Unama'ki Institute of Natural Resources,Fisheries and Aquatic Resources Collaboration and Governance,Communications and Outreach Manager
Unama'ki Institute of Natural Resources,Support the Guardian Program,Administrative Assistant
Unama'ki Institute of Natural Resources,Water quality,Unama'ki Guardian Liaison Coordinator
Unama'ki Institute of Natural Resources,Communications and Outreach,Commercial Fisheries Liaison
Unama'ki Institute of Natural Resources,,Coordinator
Unama'ki Institute of Natural Resources,,Director of Research and of aquatic stewardship
Unama'ki Institute of Natural Resources,,Assistant for aquatic research
Unama'ki Institute of Natural Resources,,Aquatic research technician
